job_id,scenario,seed,symbols,nu,spans,launch_power_dbm,output_csv,log_path,command,status
confirm_001_c_seed21,C,21,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_001_c_seed21.csv,results/final/logs/confirm_001_c_seed21.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 21 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_001_c_seed21.csv --log results/final/logs/confirm_001_c_seed21.log",planned_not_run
confirm_002_c_seed22,C,22,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_002_c_seed22.csv,results/final/logs/confirm_002_c_seed22.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 22 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_002_c_seed22.csv --log results/final/logs/confirm_002_c_seed22.log",planned_not_run
confirm_003_c_seed23,C,23,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_003_c_seed23.csv,results/final/logs/confirm_003_c_seed23.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 23 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_003_c_seed23.csv --log results/final/logs/confirm_003_c_seed23.log",planned_not_run
confirm_004_c_seed24,C,24,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_004_c_seed24.csv,results/final/logs/confirm_004_c_seed24.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 24 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_004_c_seed24.csv --log results/final/logs/confirm_004_c_seed24.log",planned_not_run
confirm_005_c_seed25,C,25,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_005_c_seed25.csv,results/final/logs/confirm_005_c_seed25.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 25 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_005_c_seed25.csv --log results/final/logs/confirm_005_c_seed25.log",planned_not_run
confirm_006_c_seed26,C,26,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_006_c_seed26.csv,results/final/logs/confirm_006_c_seed26.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 26 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_006_c_seed26.csv --log results/final/logs/confirm_006_c_seed26.log",planned_not_run
confirm_007_c_seed27,C,27,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_007_c_seed27.csv,results/final/logs/confirm_007_c_seed27.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 27 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_007_c_seed27.csv --log results/final/logs/confirm_007_c_seed27.log",planned_not_run
confirm_008_c_seed28,C,28,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_008_c_seed28.csv,results/final/logs/confirm_008_c_seed28.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 28 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_008_c_seed28.csv --log results/final/logs/confirm_008_c_seed28.log",planned_not_run
confirm_009_c_seed29,C,29,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_009_c_seed29.csv,results/final/logs/confirm_009_c_seed29.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 29 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_009_c_seed29.csv --log results/final/logs/confirm_009_c_seed29.log",planned_not_run
confirm_010_c_seed30,C,30,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_010_c_seed30.csv,results/final/logs/confirm_010_c_seed30.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 30 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_010_c_seed30.csv --log results/final/logs/confirm_010_c_seed30.log",planned_not_run
