scenario,display_name,band,channel_id,wavelength_nm,frequency_offset_ghz,launch_power_dbm,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after
uniform_baseline,Uniform baseline,O,0,1310.6,-75.0,0.0,False,False,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.62329087867648,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0034377868138332087,0.0034377868138332087
uniform_baseline,Uniform baseline,O,1,1310.0,0.0,0.0,False,False,0.0007677878537350412,0.00115,0.0018419273861053573,0.0037597152398403987,24.516221698649233,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0034651502070787536,0.0034651502070787536
uniform_baseline,Uniform baseline,O,2,1309.4,75.0,0.0,False,False,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.670512567021813,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0034533745119874706,0.0034533745119874706
uniform_baseline,Uniform baseline,E,0,1400.6,-75.0,0.0,False,False,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,24.77844606394353,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0032621177141832335,0.0032621177141832335
uniform_baseline,Uniform baseline,E,1,1400.0,0.0,0.0,False,False,0.0006811476104107644,0.0010222222222222221,0.0018419273861053573,0.0035452972187383436,24.786382367954825,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003296908272669403,0.003296908272669403
uniform_baseline,Uniform baseline,E,2,1399.4,75.0,0.0,False,False,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,24.76661659316835,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0033422017059457007,0.0033422017059457007
uniform_baseline,Uniform baseline,S,0,1490.6,-75.0,0.0,False,False,0.0005691689991202368,0.0008145833333333333,0.0018419273861053573,0.003225679718558927,25.05101835149709,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003043670716933511,0.003043670716933511
uniform_baseline,Uniform baseline,S,1,1490.0,0.0,0.0,False,False,0.0005691689991202368,0.0007666666666666666,0.0018419273861053573,0.0031777630518922606,25.56429247434648,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0028791596090757708,0.0028791596090757708
uniform_baseline,Uniform baseline,S,2,1489.4,75.0,0.0,False,False,0.0005691689991202368,0.0008145833333333333,0.0018419273861053573,0.003225679718558927,25.12715853765561,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003069392734145635,0.003069392734145635
uniform_baseline,Uniform baseline,C,0,1550.6,-75.0,0.0,False,False,0.00048000000000000007,0.0005978593272171253,0.0018419273861053573,0.0029197867133224824,25.761659265247584,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.002688972757745429,0.002688972757745429
uniform_baseline,Uniform baseline,C,1,1550.0,0.0,0.0,False,False,0.00048000000000000007,0.0005626911314984709,0.0018419273861053573,0.002884618517603828,25.68999036876818,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0026747246542796793,0.0026747246542796793
uniform_baseline,Uniform baseline,C,2,1549.4,75.0,0.0,False,False,0.00048000000000000007,0.0005978593272171253,0.0018419273861053573,0.0029197867133224824,25.670719855822696,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.002709742446918561,0.002709742446918561
uniform_baseline,Uniform baseline,L,0,1605.6,-75.0,0.0,False,False,0.000533631229095164,0.0005430555555555555,0.0018419273861053573,0.0029186141707560767,25.542592477926465,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.002738780979939088,0.002738780979939088
uniform_baseline,Uniform baseline,L,1,1605.0,0.0,0.0,False,False,0.000533631229095164,0.0005111111111111111,0.0018419273861053573,0.002886669726311632,25.6826133381858,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0026994492773624213,0.0026994492773624213
uniform_baseline,Uniform baseline,L,2,1604.4,75.0,0.0,False,False,0.000533631229095164,0.0005430555555555555,0.0018419273861053573,0.0029186141707560767,25.635010993181602,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.002751057188868773,0.002751057188868773
pcs_only,PCS only,O,0,1310.6,-75.0,0.0,True,False,0.0007677878537350412,0.0010752499999999998,0.0018419273861053573,0.0036849652398403985,24.273472349928223,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.003407168058506849,0.003407168058506849
pcs_only,PCS only,O,1,1310.0,0.0,0.0,True,False,0.0007677878537350412,0.001012,0.0018419273861053573,0.0036217152398403986,24.510312873751165,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.003252765222684952,0.003252765222684952
pcs_only,PCS only,O,2,1309.4,75.0,0.0,True,False,0.0007677878537350412,0.0010752499999999998,0.0018419273861053573,0.0036849652398403985,24.352997660261334,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.003523477211672825,0.003523477211672825
pcs_only,PCS only,E,0,1400.6,-75.0,0.0,True,False,0.0006811476104107644,0.0009557777777777777,0.0018419273861053573,0.003478852774293899,24.778402799450163,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.003153885161070814,0.003153885161070814
pcs_only,PCS only,E,1,1400.0,0.0,0.0,True,False,0.0006811476104107644,0.0008995555555555555,0.0018419273861053573,0.003422630552071677,24.686496171494035,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0032630341265152854,0.0032630341265152854
pcs_only,PCS only,E,2,1399.4,75.0,0.0,True,False,0.0006811476104107644,0.0009557777777777777,0.0018419273861053573,0.003478852774293899,24.82619894360372,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0031316533545925652,0.0031316533545925652
pcs_only,PCS only,S,0,1490.6,-75.0,0.0,True,False,0.0005691689991202368,0.0007168333333333333,0.0018419273861053573,0.0031279297185589274,24.93077635760677,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0030143031794366048,0.0030143031794366048
pcs_only,PCS only,S,1,1490.0,0.0,0.0,True,False,0.0005691689991202368,0.0006746666666666666,0.0018419273861053573,0.0030857630518922605,25.133181113846433,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0029441038260211794,0.0029441038260211794
pcs_only,PCS only,S,2,1489.4,75.0,0.0,True,False,0.0005691689991202368,0.0007168333333333333,0.0018419273861053573,0.0031279297185589274,25.13346380052434,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.002922650609463852,0.002922650609463852
pcs_only,PCS only,C,0,1550.6,-75.0,0.0,True,False,0.00048000000000000007,0.0005261162079510703,0.0018419273861053573,0.002848043594056428,25.423513712110687,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.00272159378681317,0.00272159378681317
pcs_only,PCS only,C,1,1550.0,0.0,0.0,True,False,0.00048000000000000007,0.0004951681957186544,0.0018419273861053573,0.0028170955818240116,25.513273029020993,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0026809071044807246,0.0026809071044807246
pcs_only,PCS only,C,2,1549.4,75.0,0.0,True,False,0.00048000000000000007,0.0005261162079510703,0.0018419273861053573,0.002848043594056428,25.228825606045792,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0027775755985891947,0.0027775755985891947
pcs_only,PCS only,L,0,1605.6,-75.0,0.0,True,False,0.000533631229095164,0.00047788888888888886,0.0018419273861053573,0.0028534475040894102,25.4596832131887,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.002720261758115266,0.002720261758115266
pcs_only,PCS only,L,1,1605.0,0.0,0.0,True,False,0.000533631229095164,0.00044977777777777773,0.0018419273861053573,0.0028253363929782987,25.48605510898133,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0026615702086287473,0.0026615702086287473
pcs_only,PCS only,L,2,1604.4,75.0,0.0,True,False,0.000533631229095164,0.00047788888888888886,0.0018419273861053573,0.0028534475040894102,25.38634300132031,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.002690982716447084,0.002690982716447084
neural_only,Neural NLI only,O,0,1310.6,-75.0,0.0,False,True,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.76067594480255,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.18819889999986117,0.0005130999998073094,0.0036688974238007514,0.0033735080235613247
neural_only,Neural NLI only,O,1,1310.0,0.0,0.0,False,True,0.0007677878537350412,0.00115,0.0018419273861053573,0.0037597152398403987,25.010994523093053,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.18389620000016293,0.0012333999998190848,0.0034115583449186235,0.003154282218221128
neural_only,Neural NLI only,O,2,1309.4,75.0,0.0,False,True,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.823493654940417,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.1991878000003453,0.0005979999996270635,0.0034853102984642964,0.0032038649139286106
neural_only,Neural NLI only,E,0,1400.6,-75.0,0.0,False,True,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,25.29560329310922,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.18235199999980978,0.0004787000002579589,0.0032287825153581255,0.0029573496273496013
neural_only,Neural NLI only,E,1,1400.0,0.0,0.0,False,True,0.0006811476104107644,0.0010222222222222221,0.0018419273861053573,0.0035452972187383436,25.278363854918375,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.1973677000000862,0.000811500000054366,0.0031545478846715237,0.002951712006553467
neural_only,Neural NLI only,E,2,1399.4,75.0,0.0,False,True,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,25.185401356737387,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.21572609999975612,0.0004887999998572923,0.0033009307929065604,0.0030349684462548576
neural_only,Neural NLI only,S,0,1490.6,-75.0,0.0,False,True,0.0005691689991202368,0.0008145833333333333,0.0018419273861053573,0.003225679718558927,25.46440367629375,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.18103840000003402,0.0006683000001430628,0.0030771070271312395,0.0028446093482484276
neural_only,Neural NLI only,S,1,1490.0,0.0,0.0,False,True,0.0005691689991202368,0.0007666666666666666,0.0018419273861053573,0.0031777630518922606,25.825015228027528,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.1967171999999664,0.0008339000000887609,0.0028893574921210643,0.002687688417818411
neural_only,Neural NLI only,S,2,1489.4,75.0,0.0,False,True,0.0005691689991202368,0.0008145833333333333,0.0018419273861053573,0.003225679718558927,25.620640376466625,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.17757449999999153,0.000618300000041927,0.0029976493171473156,0.0027689471396119577
neural_only,Neural NLI only,C,0,1550.6,-75.0,0.0,False,True,0.00048000000000000007,0.0005978593272171253,0.0018419273861053573,0.0029197867133224824,25.925219256626974,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.1706822999999531,0.0009978000002774934,0.0027301429083566274,0.0025527870005339136
neural_only,Neural NLI only,C,1,1550.0,0.0,0.0,False,True,0.00048000000000000007,0.0005626911314984709,0.0018419273861053573,0.002884618517603828,25.765884662370716,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.15898180000021966,0.0004731999997602543,0.0027936092525380095,0.00266373587722217
neural_only,Neural NLI only,C,2,1549.4,75.0,0.0,False,True,0.00048000000000000007,0.0005978593272171253,0.0018419273861053573,0.0029197867133224824,26.034880319010174,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.2979789000000892,0.0006220000000212167,0.00272192208775666,0.0025276748578076805
neural_only,Neural NLI only,L,0,1605.6,-75.0,0.0,False,True,0.000533631229095164,0.0005430555555555555,0.0018419273861053573,0.0029186141707560767,25.741507990551096,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.2936536000001979,0.0008155000000442669,0.0028371534778852043,0.002681572957386685
neural_only,Neural NLI only,L,1,1605.0,0.0,0.0,False,True,0.000533631229095164,0.0005111111111111111,0.0018419273861053573,0.002886669726311632,26.021908703555674,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.374007100000199,0.001227299999754905,0.0025762402901423616,0.00244193065530854
neural_only,Neural NLI only,L,2,1604.4,75.0,0.0,False,True,0.000533631229095164,0.0005430555555555555,0.0018419273861053573,0.0029186141707560767,25.867736343766676,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.30603370000017094,0.0015637999999853491,0.002794563011003134,0.0026337575077153416
proposed_pcs_neural,Proposed PCS + Neural NLI,O,0,1310.6,-75.0,0.0,True,True,0.0007677878537350412,0.0010752499999999998,0.0018419273861053573,0.0036849652398403985,24.95810449616024,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.29415770000014163,0.001315599999998085,0.0032255637163368417,0.002961337187046877
proposed_pcs_neural,Proposed PCS + Neural NLI,O,1,1310.0,0.0,0.0,True,True,0.0007677878537350412,0.001012,0.0018419273861053573,0.0036217152398403986,24.911562880986878,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.3141556999999011,0.0018325999999433407,0.003307134371518627,0.0030293894431792597
proposed_pcs_neural,Proposed PCS + Neural NLI,O,2,1309.4,75.0,0.0,True,True,0.0007677878537350412,0.0010752499999999998,0.0018419273861053573,0.0036849652398403985,25.19791470099105,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.3068683000001329,0.00099320000026637,0.00317269820833988,0.002908603109525956
proposed_pcs_neural,Proposed PCS + Neural NLI,E,0,1400.6,-75.0,0.0,True,True,0.0006811476104107644,0.0009557777777777777,0.0018419273861053573,0.003478852774293899,25.02529430206108,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.26794810000001235,0.0006511999999929685,0.003233644530376788,0.002994682276331197
proposed_pcs_neural,Proposed PCS + Neural NLI,E,1,1400.0,0.0,0.0,True,True,0.0006811476104107644,0.0008995555555555555,0.0018419273861053573,0.003422630552071677,25.13807568685557,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.2894133999998303,0.0009741999997459061,0.003065447212074966,0.002831324988724778
proposed_pcs_neural,Proposed PCS + Neural NLI,E,2,1399.4,75.0,0.0,True,True,0.0006811476104107644,0.0009557777777777777,0.0018419273861053573,0.003478852774293899,24.618290318008306,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.13649189999978262,0.001125300000239804,0.003245692790101292,0.003244707855395294
proposed_pcs_neural,Proposed PCS + Neural NLI,S,0,1490.6,-75.0,0.0,True,True,0.0005691689991202368,0.0007168333333333333,0.0018419273861053573,0.0031279297185589274,25.393955662046665,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.25942910000003394,0.0010658000001058099,0.002999059701107242,0.002778687420325565
proposed_pcs_neural,Proposed PCS + Neural NLI,S,1,1490.0,0.0,0.0,True,True,0.0005691689991202368,0.0006746666666666666,0.0018419273861053573,0.0030857630518922605,25.501003935623785,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.2836935000000267,0.0009731000000101631,0.0028451388621233134,0.00268698875445226
proposed_pcs_neural,Proposed PCS + Neural NLI,S,2,1489.4,75.0,0.0,True,True,0.0005691689991202368,0.0007168333333333333,0.0018419273861053573,0.0031279297185589274,25.530544714923018,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,786,0.2598564999998416,0.0007110999999895284,0.0028504591894172116,0.0026493699971963025
