seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
1,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6397694753261884,0.9099423688315471,0.0212554931640625,12.831667956496878,0.46589049284175216,0.46589049284175216
1,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6478297449364367,0.9152661512504711,0.0201873779296875,12.641965915826479,0.4669222073518639,0.4669222073518639
2,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.643304829911746,0.9108262074779365,0.0211029052734375,12.917681999852766,0.4663430182287035,0.4663430182287035
2,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.679694774935264,0.9232324087501779,0.0181884765625,12.779641327431035,0.4710009311917138,0.4710009311917138
3,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6246483392758693,0.9061620848189673,0.0227203369140625,12.798833929970355,0.4639549874273113,0.4639549874273113
3,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6497375244138963,0.915743096119836,0.0199432373046875,12.677570820748208,0.4671664031249787,0.4671664031249787
4,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6330003516455607,0.9082500879113902,0.02166748046875,12.858751524187648,0.46502404501063177,0.46502404501063177
4,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6715510946887493,0.9211964886885492,0.0178680419921875,12.7707687756153,0.4699585401201599,0.4699585401201599
5,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.651090985428513,0.9127727463571282,0.0216522216796875,12.883649973178184,0.4673396461348497,0.4673396461348497
5,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6709743650591724,0.921052306281155,0.0186767578125,12.729707612681418,0.4698847187275741,0.4698847187275741
6,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.630141151478436,0.907535287869609,0.0224609375,12.798375370071753,0.4646580673892398,0.4646580673892398
6,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.676985374781146,0.9225550587116483,0.018096923828125,12.716045347937424,0.4706541279719867,0.4706541279719867
7,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.640054287577911,0.9100135718944777,0.02197265625,12.869863535253334,0.4659269488099726,0.4659269488099726
7,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6655320784654246,0.919691734632718,0.019073486328125,12.722660420981944,0.46918810604357436,0.46918810604357436
8,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6423705295023536,0.9105926323755884,0.0214385986328125,12.810122564176133,0.46622342777630127,0.46622342777630127
8,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6621646680675446,0.918849882033248,0.0197601318359375,12.708704265268768,0.46875707751264567,0.46875707751264567
9,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6464627709475153,0.9116156927368788,0.021331787109375,12.918617898888144,0.466747234681282,0.466747234681282
9,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6552778035825577,0.9171281659120013,0.01922607421875,12.68407373979562,0.4678755588585674,0.4678755588585674
10,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.639536978012048,0.909884244503012,0.0218963623046875,12.88347836719528,0.4658607331855421,0.4658607331855421
10,C,10,2.0,0.24,True,pcs_raw,16384,8,1,C,3.6749797089834844,0.922053642262233,0.018035888671875,12.771725165661554,0.470397402749886,0.470397402749886
1,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.650620114690458,0.9126550286726145,0.0211944580078125,12.89597114956581,0.4672793746803786,0.4672793746803786
1,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6661005305096683,0.919833847643779,0.01905059814453125,12.660184629107745,0.4692608679052375,0.4692608679052375
2,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.647397837164461,0.9118494592911153,0.0208587646484375,12.890538929306139,0.46686692315705103,0.46686692315705103
2,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.654002674169917,0.9168093835588411,0.0189971923828125,12.692221654556892,0.4677123422937494,0.4677123422937494
3,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.6429671349909105,0.9107417837477276,0.02158355712890625,12.873162436331429,0.4662997932788365,0.4662997932788365
3,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6497577702343236,0.9157481575749428,0.01930999755859375,12.698832755688487,0.4671689945899934,0.4671689945899934
4,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.6268050853049796,0.9067012713262449,0.02216339111328125,12.847025531351473,0.46423105091903744,0.46423105091903744
4,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.660285813768276,0.9183801684584308,0.0194244384765625,12.67786863829369,0.46851658416233927,0.46851658416233927
5,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.636101815630747,0.9090254539076867,0.0218048095703125,12.881736839831834,0.46542103240073557,0.46542103240073557
5,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6607868930760663,0.9185054382853785,0.01905059814453125,12.711744758354621,0.4685807223137365,0.4685807223137365
6,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.637266163917516,0.909316540979379,0.022064208984375,12.846245827815274,0.46557006898144204,0.46557006898144204
6,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6641651697173145,0.9193500074456905,0.0188446044921875,12.69459925856756,0.4690131417238163,0.4690131417238163
7,C,10,2.0,0.0,False,uniform_raw,32768,8,1,C,3.63829413620912,0.90957353405228,0.02142333984375,12.842990479231629,0.4657016494347674,0.4657016494347674
7,C,10,2.0,0.24,True,pcs_raw,32768,8,1,C,3.6547863086669654,0.9170052921831032,0.01956939697265625,12.699882288237012,0.46781264750937157,0.46781264750937157
