seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
1,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.639791993144225,0.9099479982860562,0.0212554931640625,12.83177924488971,0.3882444792687173,0.3882444792687173
1,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.685103007360839,0.9212757518402097,0.018585205078125,12.659168898071343,0.3930776541184895,0.3930776541184895
2,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.643329591377236,0.910832397844309,0.0211029052734375,12.917807015695026,0.3886218230802385,0.3886218230802385
2,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.6738990529175264,0.9184747632293816,0.0193328857421875,12.533244094017334,0.3918825656445361,0.3918825656445361
3,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.6246732137603397,0.9061683034400849,0.0227203369140625,12.79895630469828,0.3866318094677696,0.3866318094677696
3,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.695842353681328,0.923960588420332,0.017364501953125,12.690471333454532,0.39422318439267506,0.39422318439267506
4,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.633025788582618,0.9082564471456545,0.0216827392578125,12.858871186871523,0.38752275078214593,0.38752275078214593
4,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.6853739984523295,0.9213434996130824,0.018829345703125,12.57198862784642,0.39310655983491516,0.39310655983491516
5,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.6511136134929303,0.9127784033732326,0.0216522216796875,12.88376138843761,0.3894521187725793,0.3894521187725793
5,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.6799589814657363,0.9199897453664341,0.0187225341796875,12.600351604172014,0.3925289580230119,0.3925289580230119
6,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.6301687254648094,0.9075421813662023,0.0224609375,12.798502631330253,0.387217997382913,0.387217997382913
6,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.6871057026518885,0.9217764256629721,0.0187530517578125,12.581850066341229,0.3932912749495348,0.3932912749495348
7,C,10,2.0,0.0,False,uniform_raw,16384,4,1,C,3.6400782642009935,0.9100195660502484,0.02197265625,12.86998560704868,0.388275014848106,0.388275014848106
7,C,10,2.0,0.36,True,pcs_raw,16384,4,1,C,3.6892468260380515,0.9223117065095129,0.01751708984375,12.61925905090451,0.3935196614440588,0.3935196614440588
1,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.7610449911685713,0.9402612477921428,0.015472412109375,13.553034575575404,0.40117813239131433,0.40117813239131433
1,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.823975920008281,0.9559939800020703,0.011138916015625,13.446031023289905,0.4078907648008834,0.4078907648008834
2,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.767086474254688,0.941771618563672,0.0155181884765625,13.544550690177273,0.40182255725383337,0.40182255725383337
2,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.824096805586846,0.9560242013967115,0.0115814208984375,13.449090771618907,0.4079036592625969,0.4079036592625969
