pcs_nu,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95
0.0,Neural residual,neural_residual,3,3.9999999967885813,5.56058902906629e-09,6.292398842657233e-09,0.9999999991971453,1.3901472572665726e-09,1.5730997106643082e-09,0.0,0.0,0.0,24.777270078083546,0.35125701238748636,0.39748472808705154,0.4266666663241154,5.931294763484776e-10,6.711891871548268e-10
0.0,Uniform raw,uniform_raw,3,3.9999903196212974,1.3712525909103137e-05,1.5517183828785213e-05,0.9999975799053243,3.428131477275784e-06,3.879295957196303e-06,0.0,0.0,0.0,20.276936789045486,0.020668758387285026,0.023388901908680117,0.42666563409293845,1.4626694302872656e-06,1.655166275051107e-06
0.08,PCS + Neural,pcs_neural,3,3.999999916330941,1.243347626048741e-07,1.4069802897272247e-07,0.9999999790827353,3.108369065121853e-08,3.517450724318062e-08,0.0,0.0,0.0,24.66355621057882,0.5937836070142968,0.6719294056861788,0.4266666577419671,1.3262374711950566e-08,1.5007789795675156e-08
0.08,PCS raw,pcs_raw,3,3.9999970526674926,4.144135778813239e-06,4.689531098614118e-06,0.9999992631668732,1.0360339447033097e-06,1.1723827746535295e-06,0.0,0.0,0.0,20.18871538462618,0.057082781402417425,0.0645952480492054,0.4266663522845326,4.420411497677782e-07,5.002166505501841e-07
0.16,PCS + Neural,pcs_neural,3,3.999999999952712,6.801518544830854e-11,7.696642783002399e-11,0.999999999988178,1.7003796362077136e-11,1.9241606957505997e-11,0.0,0.0,0.0,25.70880656749426,0.13153999124658933,0.14885151273662198,0.4266666666616226,7.254929434056152e-12,8.209725504939955e-12
0.16,PCS raw,pcs_raw,3,3.999995859022352,5.314210104027654e-06,6.013594842817567e-06,0.999998964755588,1.3285525260069135e-06,1.5033987107043918e-06,0.0,0.0,0.0,20.01295488317773,0.03442657381557932,0.03895733565301444,0.4266662249623842,5.668490777781681e-07,6.414501165844282e-07
0.24,PCS + Neural,pcs_neural,3,3.999999999996474,4.3856043915274195e-12,4.962778556974819e-12,0.9999999999991185,1.0964010978818549e-12,1.2406946392437047e-12,0.0,0.0,0.0,25.362689365497715,0.32308381095727784,0.36560374944490925,0.4266666666662906,4.677776234228869e-13,5.293402121360108e-13
0.24,PCS raw,pcs_raw,3,3.999997241068263,1.1939395666947179e-06,1.3510698072455874e-06,0.9999993102670658,2.9848489167367947e-07,3.3776745181139685e-07,0.0,0.0,0.0,19.537168421103257,0.21390726686389552,0.24205885948675493,0.4266663723806147,1.2735355379013018e-07,1.441141127834548e-07
0.32,PCS + Neural,pcs_neural,3,3.99999999999971,4.383079511558226e-13,4.959921386320243e-13,0.9999999999999275,1.0957698778895565e-13,1.2399803465800609e-13,0.0,0.0,0.0,25.107792748543805,0.12551640440592837,0.14203518254809427,0.4266666666666357,4.674375153017789e-14,5.2895534356607125e-14
0.32,PCS raw,pcs_raw,3,3.9999964488058404,3.7954068634841383e-06,4.294907181660773e-06,0.9999991122014601,9.488517158710346e-07,1.0737267954151932e-06,0.0,0.0,0.0,18.899526662029817,0.15997320326138229,0.18102672105352816,0.426666287872623,4.048433987688605e-07,4.5812343270733544e-07
