band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,train_time_s_mean,train_time_s_std,train_time_s_ci95,inference_time_s_mean,inference_time_s_std,inference_time_s_ci95,parameter_count_mean,parameter_count_std,parameter_count_ci95
C,6,-2.0,0.0,False,evidence,DBP-like,dbp_like,5,3.9046729707520442,0.005044196561479191,0.004421433230108561,0.9761682426880111,0.0012610491403697978,0.0011053583075271403,0.0059326171875,0.00036439800093161,0.0003194089307716597,14.820166529582574,0.06844437308766688,0.059994138193341075,0.4164984502135514,0.0005380476332244409,0.0004716195445449079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,6,-2.0,0.0,False,evidence,Linear EQ,linear,5,3.9034412243388643,0.004728287327867635,0.004144526577847044,0.9758603060847161,0.0011820718319669088,0.001036131644461761,0.0061279296875,0.00047154897805397566,0.0004133309033025044,14.80133470623108,0.0642563312819397,0.05632315769461604,0.41636706392947886,0.0005043506483058749,0.0004420828349703459,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,6,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.844396264536466,0.013638562757143365,0.011954727348624851,0.9610990661341166,0.0034096406892858413,0.002988681837156213,0.009041341145833333,0.0008271208299005152,0.0007250033732953281,14.874766388441168,0.14664194166459282,0.12853732916651858,0.41006893488388974,0.0014547800274286146,0.0012751709171866413,1.688048879998678,0.5688666598232894,0.4986336124272644,0.006940199999371543,0.0038410082503767744,0.0033667921755921597,7538.0,0.0,0.0
C,6,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.8652743469780058,0.010736577854222608,0.009411025427682147,0.9663185867445014,0.002684144463555652,0.0023527563569205366,0.007836914062500002,0.000534885310063639,0.00046884764607959287,15.658772027963048,0.039807811112293603,0.03489308489956352,0.41229593034432066,0.0011452349711170912,0.001003842712286107,0.012783799998578616,0.013366762267260487,0.011716483714920074,0.0,0.0,0.0,60.0,0.0,0.0
C,6,-2.0,0.0,False,evidence,Raw,raw,5,3.9034026455169704,0.005031172873745551,0.004410017464481223,0.9758506613792426,0.0012577932184363878,0.0011025043661203058,0.006144205729166667,0.000478000493345977,0.00041898590578881583,14.801669248710033,0.06434239482873037,0.056398595719491434,0.4163629488551435,0.0005366584398661819,0.00047040186287798815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,6,0.0,0.0,False,evidence,DBP-like,dbp_like,5,3.892097278352941,0.004245329068293368,0.0037211949983554484,0.9730243195882352,0.001061332267073342,0.0009302987495888621,0.0068603515625,0.00046625249058044325,0.00040868832733764894,14.731966667466148,0.038906108695990885,0.034102707883418674,0.4151570430243138,0.0004528351006179712,0.0003969274664912583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,6,0.0,0.0,False,evidence,Linear EQ,linear,5,3.8876135188800838,0.004691954257897429,0.004112679237847467,0.9719033797200209,0.0011729885644743573,0.0010281698094618667,0.007120768229166667,0.0005689343853397445,0.0004986929764598376,14.664953620436275,0.040715211236950474,0.03568845617728115,0.41467877534720887,0.0005004751208423966,0.0004386857853704,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,6,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.846250023258596,0.009397989083148841,0.008237700637154918,0.961562505814649,0.0023494972707872102,0.0020594251592887295,0.0089111328125,0.000603531777921197,0.0005290189281491365,14.899292724303098,0.09603846741948309,0.08418142830910628,0.4102666691475836,0.0010024521688692149,0.0008786880679631959,1.6061349199982942,0.4073484845022199,0.3570566895363654,0.006184979999670759,0.0017306131576851644,0.0015169493160291192,7538.0,0.0,0.0
C,6,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.8546992876585238,0.003460376089908428,0.0030331533765820665,0.9636748219146309,0.000865094022477107,0.0007582883441455166,0.00869140625,0.00032245463470310763,0.00028264394927955645,15.55650204169029,0.04667401349703421,0.040911576649147574,0.4111679240169092,0.0003691067829235659,0.0003235363601687539,0.005581479999818839,0.0015854856781566545,0.0013897394714545682,0.0,0.0,0.0,60.0,0.0,0.0
C,6,0.0,0.0,False,evidence,Raw,raw,5,3.887874479137414,0.004438066432876686,0.003890136747168332,0.9719686197843534,0.0011095166082191715,0.000972534186792083,0.0071044921875,0.0005627898893886753,0.0004933070882912849,14.665557838462064,0.04079393876270769,0.0357574638962042,0.4147066111079908,0.0004733937528401761,0.0004149479196979522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
