seed,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after
1,C,6,-2.0,0.0,False,evidence,Raw,raw,3.8975012587357964,0.9743753146839491,0.0064697265625,14.827206133964594,0.415733467598485,0,0.0,0.0,0.0,0.0
1,C,6,-2.0,0.0,False,evidence,Linear EQ,linear,3.897788160856709,0.9744470402141773,0.0064697265625,14.826986224493222,0.4157640704913823,2,0.0,0.0,0.03304088951990741,0.03304088951990741
1,C,6,-2.0,0.0,False,evidence,DBP-like,dbp_like,3.897733190005869,0.9744332975014672,0.006388346354166667,14.841544271314556,0.4157582069339594,1,0.0,0.0,0.032906325295055584,0.0327978649199728
1,C,6,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8619944302861193,0.9654986075715298,0.008138020833333334,15.621592588788157,0.4119460725638528,60,0.03574079999816604,0.0,0.03304088951990741,0.027204335313715845
1,C,6,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.8275068515789155,0.9568767128947289,0.0093994140625,14.804142896019531,0.40826739750175106,7538,1.8160557000010158,0.005804000000352971,0.032906325295055584,0.033081539384963415
1,C,6,0.0,0.0,False,evidence,Raw,raw,3.8843332356906517,0.9710833089226629,0.007527669270833333,14.725724787086135,0.41432887847366956,0,0.0,0.0,0.0,0.0
1,C,6,0.0,0.0,False,evidence,Linear EQ,linear,3.8834718563022514,0.9708679640755629,0.007527669270833333,14.724952748906828,0.4142369980055735,2,0.0,0.0,0.03385891917266342,0.03385891917266342
1,C,6,0.0,0.0,False,evidence,DBP-like,dbp_like,3.8873496175153672,0.9718374043788418,0.0072021484375,14.787730345457552,0.41465062586830587,1,0.0,0.0,0.03368429958637848,0.03320679533406524
1,C,6,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8509522295902374,0.9627380573975594,0.008707682291666666,15.617939755778176,0.4107682378229587,60,0.005829899993841536,0.0,0.03385891917266342,0.02758461632668037
1,C,6,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.862604587719101,0.9656511469297753,0.007853190104166666,15.000643214769664,0.4120111560233708,7538,1.6242406999954255,0.008859000001393724,0.03368429958637848,0.031618093435851036
1,C,6,2.0,0.0,False,evidence,Raw,raw,3.8717448309804814,0.9679362077451203,0.008626302083333334,14.309148803002989,0.41298611530458473,0,0.0,0.0,0.0,0.0
1,C,6,2.0,0.0,False,evidence,Linear EQ,linear,3.8722479319887118,0.9680619829971779,0.008544921875,14.308691702876326,0.41303977941212927,2,0.0,0.0,0.03648635003936548,0.03648635003936548
1,C,6,2.0,0.0,False,evidence,DBP-like,dbp_like,3.8810040789876545,0.9702510197469136,0.007975260416666666,14.4646839079034,0.41397376842534983,1,0.0,0.0,0.03707533806011551,0.03577104348300456
1,C,6,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8262182154614535,0.9565545538653634,0.010538736979166666,15.291900390417146,0.40812994298255506,60,0.005732300000090618,0.0,0.03648635003936548,0.028554063694106756
1,C,6,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.844903841768768,0.961225960442192,0.009440104166666666,14.739761093803454,0.41012307645533524,7538,1.655143500000122,0.0066389999992679805,0.03707533806011551,0.03357560837391184
1,C,6,4.0,0.0,False,evidence,Raw,raw,3.7553323438777326,0.9388330859694332,0.015462239583333334,13.422168625609077,0.40056878334695817,0,0.0,0.0,0.0,0.0
1,C,6,4.0,0.0,False,evidence,Linear EQ,linear,3.7543876868894612,0.9385969217223653,0.015340169270833334,13.421435161877408,0.40046801993487585,2,0.0,0.0,0.04518896145950151,0.04518896145950151
1,C,6,4.0,0.0,False,evidence,DBP-like,dbp_like,3.7775244425780907,0.9443811106445227,0.014078776041666666,13.637896995298057,0.40293594054166304,1,0.0,0.0,0.04547609210797007,0.043272331996902946
1,C,6,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.750828586076184,0.937707146519046,0.014811197916666666,14.738472120643937,0.40008838251479295,60,0.006384000000252854,0.0,0.04518896145950151,0.0334464833020442
1,C,6,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.776413739654507,0.9441034349136268,0.012939453125,14.100531044978196,0.40281746556314746,7538,1.3676454000014928,0.008169900000211783,0.04547609210797007,0.03889975763862607
1,C,6,6.0,0.0,False,evidence,Raw,raw,3.4810860252292617,0.8702715063073154,0.032470703125,11.93166404039697,0.3713158426911213,0,0.0,0.0,0.0,0.0
1,C,6,6.0,0.0,False,evidence,Linear EQ,linear,3.4803918403509577,0.8700979600877394,0.032633463541666664,11.931623312112665,0.37124179630410215,2,0.0,0.0,0.0627251339297628,0.0627251339297628
1,C,6,6.0,0.0,False,evidence,DBP-like,dbp_like,3.5214694234795445,0.8803673558698861,0.029581705729166668,12.170334618157543,0.37562340517115145,1,0.0,0.0,0.06409639381316218,0.06066895831572292
1,C,6,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.5631892703944157,0.8907973175986039,0.024617513020833332,13.562587941869563,0.38007352217540435,60,0.004279200002201833,0.0,0.0627251339297628,0.04371825606806878
1,C,6,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.633044873253138,0.9082612183132845,0.021199544270833332,13.300334755082734,0.3875247864803347,7538,1.423188000000664,0.007861999998567626,0.06409639381316218,0.046769908955545496
1,C,8,-2.0,0.0,False,evidence,Raw,raw,3.8841025949747947,0.9710256487436987,0.0074462890625,14.586937520730427,0.41430427679731147,0,0.0,0.0,0.0,0.0
1,C,8,-2.0,0.0,False,evidence,Linear EQ,linear,3.884255240444129,0.9710638101110323,0.007405598958333333,14.586914248585064,0.4143205589807071,2,0.0,0.0,0.034775688044255154,0.034775688044255154
1,C,8,-2.0,0.0,False,evidence,DBP-like,dbp_like,3.8885826218099133,0.9721456554524783,0.007120768229166667,14.642977230579294,0.41478214632639077,1,0.0,0.0,0.03477813171341492,0.03433225084107752
1,C,8,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8350114474092862,0.9587528618523216,0.0093994140625,15.451746823051506,0.40906788772365715,60,0.006835100000898819,0.0,0.034775688044255154,0.028146823626924757
1,C,8,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.8323695738484513,0.9580923934621128,0.0091552734375,14.806134968599295,0.40878608787716814,7538,1.6829590999986976,0.00727760000154376,0.03477813171341492,0.033066368638274
1,C,8,0.0,0.0,False,evidence,Raw,raw,3.8573853923028207,0.9643463480757052,0.0086669921875,14.379106410447191,0.41145444184563423,0,0.0,0.0,0.0,0.0
1,C,8,0.0,0.0,False,evidence,Linear EQ,linear,3.8571140923099723,0.9642785230774931,0.0086669921875,14.378994077308246,0.4114255031797304,2,0.0,0.0,0.03670046557038652,0.03670046557038652
1,C,8,0.0,0.0,False,evidence,DBP-like,dbp_like,3.86608497133606,0.966521242834015,0.008544921875,14.486534420514321,0.41238239694251305,1,0.0,0.0,0.03648290051785645,0.03559152182099972
1,C,8,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8401618795233423,0.9600404698808356,0.009073893229166666,15.387592819857352,0.40961726714915647,60,0.005423200003860984,0.0,0.03670046557038652,0.028767068367776552
1,C,8,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.819160688398214,0.9547901720995535,0.010782877604166666,14.650366954235976,0.4073771400958095,7538,1.4385077999977511,0.007925999998406041,0.03648290051785645,0.034273882583366964
1,C,8,2.0,0.0,False,evidence,Raw,raw,3.767966404653455,0.9419916011633638,0.013671875,13.65767083868965,0.4019164164963686,0,0.0,0.0,0.0,0.0
1,C,8,2.0,0.0,False,evidence,Linear EQ,linear,3.7677104349537895,0.9419276087384474,0.013671875,13.65763404837525,0.40188911306173764,2,0.0,0.0,0.04314640551365677,0.04314640551365677
1,C,8,2.0,0.0,False,evidence,DBP-like,dbp_like,3.7860273624344627,0.9465068406086157,0.013346354166666666,13.821036694024095,0.40384291865967603,1,0.0,0.0,0.043075756780533214,0.04148550017635679
1,C,8,2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.768316166744668,0.942079041686167,0.013875325520833334,14.829532804359882,0.40195372445276456,60,0.004756299997097813,0.0,0.04314640551365677,0.03296488117903518
1,C,8,2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.8024109041962797,0.9506027260490699,0.0115966796875,14.562270714932183,0.40559049644760314,7538,1.9162534999995842,0.007708299999649171,0.043075756780533214,0.0349762245520044
1,C,8,4.0,0.0,False,evidence,Raw,raw,3.5210377996847075,0.8802594499211769,0.029581705729166668,12.147267804371936,0.37557736529970215,0,0.0,0.0,0.0,0.0
1,C,8,4.0,0.0,False,evidence,Linear EQ,linear,3.521678747174125,0.8804196867935312,0.02978515625,12.146640917140095,0.3756457330319067,2,0.0,0.0,0.0598447536790057,0.0598447536790057
1,C,8,4.0,0.0,False,evidence,DBP-like,dbp_like,3.555679140242293,0.8889197850605732,0.027303059895833332,12.364178233075904,0.3792724416258446,1,0.0,0.0,0.06099204844322429,0.05802059480254459
1,C,8,4.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.5670846978254125,0.8917711744563531,0.024088541666666668,13.664399750853079,0.3804890344347106,60,0.004419700002472382,0.0,0.0598447536790057,0.04220587062183482
1,C,8,4.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.684998239736468,0.921249559934117,0.017374674479166668,13.790313950007986,0.3930664789052233,7538,1.9694983000008506,0.00530080000316957,0.06099204844322429,0.04178001629228526
1,C,8,6.0,0.0,False,evidence,Raw,raw,2.8992241082183963,0.7248060270545991,0.0703125,9.648393678301877,0.3092505715432956,0,0.0,0.0,0.0,0.0
1,C,8,6.0,0.0,False,evidence,Linear EQ,linear,2.900752657471208,0.725188164367802,0.069580078125,9.64740289958377,0.3094136167969289,2,0.0,0.0,0.10534643261800386,0.10534643261800386
1,C,8,6.0,0.0,False,evidence,DBP-like,dbp_like,2.9374378989162793,0.7343594747290698,0.06693522135416667,9.815183945911595,0.3133267092177365,1,0.0,0.0,0.10843278993962517,0.10434739353378679
1,C,8,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.065850544674861,0.7664626361687152,0.054646809895833336,10.942307261426446,0.32702405809865187,60,0.004396600001200568,0.0,0.10534643261800386,0.07823390165881516
1,C,8,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.283811276701228,0.820952819175307,0.0401611328125,11.506804776706998,0.350273202848131,7538,1.3008295000036014,0.006117000004451256,0.10843278993962517,0.07068374026169381
1,C,10,-2.0,0.0,False,evidence,Raw,raw,3.863539378910829,0.9658848447277073,0.0084228515625,14.404328760509,0.4121108670838218,0,0.0,0.0,0.0,0.0
1,C,10,-2.0,0.0,False,evidence,Linear EQ,linear,3.8637029989883747,0.9659257497470937,0.0084228515625,14.404159550005515,0.4121283198920933,2,0.0,0.0,0.03630881266443885,0.03630881266443885
1,C,10,-2.0,0.0,False,evidence,DBP-like,dbp_like,3.8681402870460104,0.9670350717615026,0.00830078125,14.450807345238179,0.4126016306182412,1,0.0,0.0,0.036271634284457004,0.035885521793679376
1,C,10,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.8352641567421077,0.9588160391855269,0.009521484375,15.28926401028504,0.4090948433858248,60,0.0045666000005439855,0.0,0.03630881266443885,0.02945714145009668
1,C,10,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.823107847004299,0.9557769617510747,0.010172526041666666,14.766295163297666,0.40779817034712523,7538,1.3903407999969204,0.0066502000045147724,0.036271634284457004,0.03337109702484418
1,C,10,0.0,0.0,False,evidence,Raw,raw,3.8139645916818328,0.9534911479204582,0.012451171875,13.992449160198753,0.4068228897793955,0,0.0,0.0,0.0,0.0
1,C,10,0.0,0.0,False,evidence,Linear EQ,linear,3.813737183173047,0.9534342957932618,0.0126953125,13.992091455630675,0.4067986328717917,2,0.0,0.0,0.04028268077253015,0.04028268077253015
1,C,10,0.0,0.0,False,evidence,DBP-like,dbp_like,3.8237444807372043,0.9559361201843011,0.011800130208333334,14.099625097309936,0.4078660779453018,1,0.0,0.0,0.03987999397068001,0.03890787305849491
1,C,10,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,3.7913786775238223,0.9478446693809556,0.012288411458333334,15.018102004501044,0.4044137256025411,60,0.003513399999064859,0.0,0.04028268077253015,0.03152271508426131
1,C,10,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,3.8097167903447153,0.9524291975861788,0.0115966796875,14.460380342886204,0.40636979097010295,7538,1.1272500999984914,0.005121499998494983,0.03987999397068001,0.03580650773975753
1,C,10,2.0,0.0,False,evidence,Raw,raw,3.6290252417475175,0.9072563104368794,0.022664388020833332,12.847887905339068,0.3870960257864019,0,0.0,0.0,0.0,0.0
