stress_name,stress_noise,stress_nonlinear,stress_implementation,stress_phase,launch_power_dbm,spans,in_target_region,selector_score,gmi,ngmi,ber,gsnr_db,rate_tbps
evidence,0.055,2.8,0.008,0.026,4.0,10,True,0.255884160634832,3.1903749414730704,0.7975937353682676,0.048177083333333336,10.814782348000062,0.3403066604237942
edge_plus,0.12,4.2,0.018,0.044,2.0,6,True,0.26897311206327623,3.2088439012852312,0.8022109753213078,0.0565185546875,10.798530785876078,0.342276682803758
strong_plus,0.085,3.4,0.012,0.034,2.0,10,True,0.27801096083889254,3.230080745188901,0.8075201862972252,0.049112955729166664,10.903565619312971,0.34454194615348277
edge_plus,0.12,4.2,0.018,0.044,0.0,8,True,0.28486156847263766,3.2308188531586617,0.8077047132896654,0.052693684895833336,10.82368270646362,0.3446206776702573
edge_plus,0.12,4.2,0.018,0.044,-2.0,10,True,0.2875874218355034,3.2340829508241042,0.8085207377060261,0.0523681640625,10.850056090591174,0.34496884808790446
edge_plus,0.12,4.2,0.018,0.044,0.0,6,True,0.3367105695843582,3.289502977872554,0.8223757444681385,0.0487060546875,11.098911909098867,0.35088031763973915
edge_plus,0.12,4.2,0.018,0.044,-2.0,8,True,0.3502618577479534,3.302259709260409,0.8255649273151022,0.049153645833333336,11.137032747163016,0.3522410356544436
strong_plus,0.085,3.4,0.012,0.034,4.0,8,True,0.36345881664116114,3.1027088845397963,0.7756772211349491,0.060587565104166664,10.429798696335155,0.33095561435091164
edge_plus,0.12,4.2,0.018,0.044,0.0,10,True,0.37817322198891345,3.0880527933240636,0.7720131983310159,0.060628255208333336,10.364565999063995,0.3293922979545668
edge_plus,0.12,4.2,0.018,0.044,-2.0,6,True,0.3871222006373106,3.3486879868526787,0.8371719967131697,0.044026692708333336,11.381014938996021,0.3571933852642858
strong_plus,0.085,3.4,0.012,0.034,4.0,6,True,0.4398494019658682,3.416261672669663,0.8540654181674158,0.037109375,11.655537859225655,0.364401245084764
medium_plus,0.03,2.2,0.004,0.018,6.0,8,True,0.4404671509701178,3.4421215144083,0.860530378602075,0.027750651041666668,12.131445278191059,0.3671596282035521
evidence,0.055,2.8,0.008,0.026,6.0,6,True,0.44566211196256944,3.427173660083334,0.8567934150208335,0.034993489583333336,11.776213252938593,0.36556519040888896
edge_plus,0.12,4.2,0.018,0.044,2.0,8,True,0.46354509526193566,3.011329632543837,0.7528324081359592,0.06697591145833333,10.051715618655969,0.3212084941380093
medium_plus,0.03,2.2,0.004,0.018,6.0,10,True,0.47060477961831076,2.9902716090693664,0.7475679022673416,0.0570068359375,9.909520984830454,0.31896230496739914
strong_plus,0.085,3.4,0.012,0.034,2.0,8,True,0.47448692497156497,3.4540016289110094,0.8635004072277523,0.035807291666666664,11.822114133717063,0.36842684041717433
near_limit,0.16,5.0,0.026,0.055,-2.0,6,True,0.5104269331679325,2.9709035755827733,0.7427258938956933,0.0721435546875,9.94239848307414,0.31689638139549586
strong_plus,0.085,3.4,0.012,0.034,0.0,10,True,0.5119586269765053,3.5005152278824627,0.8751288069706157,0.032267252604166664,12.053946285206504,0.37338829097412934
strong_plus,0.085,3.4,0.012,0.034,6.0,6,True,0.5229611267441574,2.954870564478885,0.7387176411197213,0.06929524739583333,9.91047945878178,0.3151861935444144
evidence,0.055,2.8,0.008,0.026,4.0,8,True,0.5279416294262516,3.52845725832089,0.8821143145802225,0.028116861979166668,12.303371643815735,0.376368774220895
near_limit,0.16,5.0,0.026,0.055,0.0,6,True,0.5443955255595663,2.9427609026713655,0.7356902256678414,0.0771484375,9.803318332773088,0.3138944962849456
strong_plus,0.085,3.4,0.012,0.034,2.0,6,True,0.5680332085939427,3.5679225990413084,0.8919806497603271,0.0283203125,12.368329600452569,0.3805784105644063
