pcs_nu,shaped,display_name,scenario,band,spans,launch_power_dbm,stress_name,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,train_time_s_mean,train_time_s_std,train_time_s_ci95,inference_time_s_mean,inference_time_s_std,inference_time_s_ci95,parameter_count_mean,parameter_count_std,parameter_count_ci95
0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,7,3.563683540015577,0.029146791860647288,0.021592245578017602,0.8909208850038942,0.007286697965161822,0.0053980613945044005,0.023454938616071428,0.002065362797162539,0.0015300421719567088,13.099339165237707,0.22722592765029678,0.16833132287681934,0.38012624426832825,0.0031089911318023904,0.0023031728616552207,2.0611711999996,0.4219674871137064,0.31259788903216146,0.00885114285691608,0.0017624359521096014,0.0013056308246691772,7538.0,0.0,0.0
0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,7,3.1828930146281142,0.01877746698259189,0.013910542208546074,0.7957232536570286,0.004694366745647972,0.0034776355521365186,0.04862758091517857,0.0016360246730263135,0.0012119840386061484,10.745088683583178,0.06872172540695226,0.050909766626338115,0.33950858822699886,0.0020029298114764686,0.0014837911689115817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,7,3.202248986571065,0.026956693289427035,0.019969797851490934,0.8005622466427662,0.006739173322356759,0.0049924494628727336,0.04731096540178571,0.001569971884067007,0.001163051447769352,10.644534690620835,0.10125408030267677,0.07501007239920499,0.341573225234247,0.002875380617538896,0.002130111770825709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,7,3.203696207004333,0.022135646207990866,0.016398316193295057,0.8009240517510833,0.0055339115519977165,0.004099579048323764,0.046779087611607144,0.0017074785929805214,0.0012649178432780222,10.584585655213795,0.07781719615744606,0.057647785651941334,0.34172759541379555,0.0023611355955190255,0.0017491537272848055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,7,3.574432598134288,0.019337124210211817,0.014325142084788288,0.893608149533572,0.004834281052552954,0.003581285521197072,0.023646763392857144,0.0007823119439229195,0.0005795447983627547,12.859780697242774,0.14914281645299318,0.11048654460658423,0.3812728104676575,0.0020626265824225916,0.0015280151557107494,2.0380420142859554,0.21550402014237807,0.1596476122727883,0.00959371428533424,0.0020866448010032853,0.001545808101034555,7538.0,0.0,0.0
0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,7,3.193858030220898,0.011997534894465966,0.008887898229441419,0.7984645075552245,0.0029993837236164914,0.0022219745573603547,0.04679652622767857,0.0010170273304319615,0.0007534243900060871,10.484447619709954,0.08216546522641278,0.06086902845716382,0.3406781898902291,0.001279737055409686,0.0009480424778070722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,7,3.5757952811616227,0.02158110834992963,0.015987508799094923,0.8939488202904057,0.005395277087482407,0.003996877199773731,0.023773193359375,0.0015654456664705835,0.0011596983788501798,12.724320518690229,0.17817244164166895,0.13199199189932695,0.38141816332390643,0.0023019848906591514,0.0017053342719034518,1.9140439714278077,0.4234731800201113,0.3137133219468922,0.008306328570012868,0.0010527997409541677,0.0007799249625770261,7538.0,0.0,0.0
0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,7,3.2080389900150146,0.016170374433271024,0.011979181020025001,0.8020097475037536,0.004042593608317756,0.0029947952550062502,0.04616001674107143,0.001293414642012984,0.0009581749757596772,10.499699918773375,0.06463482620898912,0.04788214933120218,0.3421908256016016,0.001724839939548929,0.0012777793088026813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,7,3.5681411319265846,0.0261382195358959,0.019363464009677388,0.8920352829816461,0.006534554883973975,0.004840866002419347,0.023856026785714284,0.0014315871780937425,0.0010605346229365373,12.672844520093914,0.20498251737471618,0.15185317394505315,0.38060172073883564,0.0027880767504955676,0.002065436161032258,1.9055577857132968,0.1555309556765393,0.11521894436985312,0.009707714285468683,0.00290988320174391,0.002155671642896458,7538.0,0.0,0.0
0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,7,3.206220452617198,0.03061578895951417,0.022680493858095202,0.8015551131542995,0.007653947239878543,0.0056701234645238005,0.046417236328125,0.001752392926647856,0.0012981908472900862,10.417845884006955,0.12561828903636463,0.09305933081526267,0.3419968482791678,0.00326568415568152,0.0024192526781968275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
