seed,pcs_nu,shaped,display_name,scenario,band,spans,launch_power_dbm,stress_name,gmi,ngmi,ber,gsnr_db,rate_tbps,train_time_s,inference_time_s,parameter_count
1,0.0,False,Uniform raw,uniform_raw,C,10,4.0,evidence,3.1828824005758185,0.7957206001439546,0.047393798828125,10.719332722415682,0.33950745606142063,0.0,0.0,0
1,0.0,False,Uniform + Memory neural,uniform_memory_neural,C,10,4.0,evidence,3.575926051818687,0.8939815129546718,0.023162841796875,13.141626153614103,0.3814321121939933,1.9322689999971772,0.007307599997147918,7538
1,0.12,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1663728243499603,0.7915932060874901,0.0487060546875,10.549943137915177,0.3377464345973291,0.0,0.0,0
1,0.16,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2022933521915014,0.8005733380478753,0.048828125,10.640942536917773,0.34157795756709347,0.0,0.0,0
1,0.2,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.20260326091953,0.8006508152298825,0.0455322265625,10.501324364392612,0.3416110144980832,0.0,0.0,0
1,0.2,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.594449070158763,0.8986122675396907,0.022491455078125,12.90448589764237,0.38340790081693477,2.1069430999996257,0.01023979999445146,7538
1,0.24,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.1910689333238045,0.7977672333309511,0.047760009765625,10.411097848570288,0.3403806862212058,0.0,0.0,0
1,0.24,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.536209868139277,0.8840524670348192,0.026580810546875,12.485407676224822,0.37719571926818957,1.5636092999993707,0.008456200004729908,7538
1,0.28,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2490901415678453,0.8122725353919613,0.0430908203125,10.539127236861987,0.3465696151005702,0.0,0.0,0
1,0.28,True,PCS + Memory neural,pcs_memory_neural,C,10,4.0,evidence,3.6073526634416115,0.9018381658604029,0.022125244140625,12.83999389134589,0.3847842841004386,1.9041293000045698,0.008155300005455501,7538
1,0.32,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2462467206032866,0.8115616801508216,0.044281005859375,10.520909423290462,0.3462663168643506,0.0,0.0,0
1,0.36,True,PCS raw,pcs_raw,C,10,4.0,evidence,3.2330429078213414,0.8082607269553354,0.04541015625,10.348920777703494,0.3448579101676098,0.0,0.0,0
