scenario_group,spans,best_pcs_nu,best_launch_power_dbm,best_gmi_gain,best_air_gain,best_aggregate_air_gain,best_rate_gain,best_aggregate_rate_gain
C,6,0.24,4.0,0.025744088207519944,0.003295243290562561,0.003295243290562561,0.003295243290562561,0.003295243290562561
C,8,0.16,4.0,0.025843181124421237,0.0033079271839259105,0.0033079271839259105,0.0033079271839259105,0.0033079271839259105
C,10,0.24,2.0,0.035791920981917524,0.00458136588568545,0.00458136588568545,0.00458136588568545,0.00458136588568545
C,12,0.2,-2.0,0.02713420804065,0.003473178629203203,0.003473178629203203,0.003473178629203203,0.003473178629203203
C+S,6,0.24,4.0,0.034301821379508164,0.004390633136577052,0.008781266273154105,0.004390633136577052,0.008781266273154105
C+S,8,0.32,2.0,0.037289522476676815,0.004773058877014624,0.009546117754029249,0.004773058877014624,0.009546117754029249
C+S,10,0.2,0.0,0.03782433514753685,0.004841514898884728,0.009683029797769456,0.004841514898884728,0.009683029797769456
C+S,12,0.36,0.0,0.043629131825761176,0.005584528873697417,0.011169057747394835,0.005584528873697417,0.011169057747394835
S,6,0.24,6.0,0.037038010493614264,0.004740865343182616,0.004740865343182616,0.004740865343182616,0.004740865343182616
S,8,0.28,0.0,0.03551560224760676,0.00454599708769367,0.00454599708769367,0.00454599708769367,0.00454599708769367
S,10,0.32,0.0,0.04147596481516157,0.00530892349634068,0.00530892349634068,0.00530892349634068,0.00530892349634068
S,12,0.32,2.0,0.04475801715126242,0.005729026195361578,0.005729026195361578,0.005729026195361578,0.005729026195361578
