scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,n_seeds,symbol_entropy_bits_mean,symbol_entropy_bits_std,symbol_entropy_bits_ci95,conditional_bit_entropy_sum_mean,conditional_bit_entropy_sum_std,conditional_bit_entropy_sum_ci95,bmd_gmi_bits_per_symbol_mean,bmd_gmi_bits_per_symbol_std,bmd_gmi_bits_per_symbol_ci95,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,air_tbps_mean,air_tbps_std,air_tbps_ci95,air_tbps_per_channel_mean,air_tbps_per_channel_std,air_tbps_per_channel_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,rate_tbps_per_channel_mean,rate_tbps_per_channel_std,rate_tbps_per_channel_ci95
C,6,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,7,4.0,0.0,0.0,0.0989927516058501,0.005170793199368149,0.003830577208212201,3.901007248394149,0.005170793199368188,0.00383057720821223,3.901007248394149,0.005170793199368188,0.00383057720821223,0.9752518120985373,0.001292698299842047,0.0009576443020530575,0.006234305245535714,0.0006158490329120005,0.0004562273481485399,14.814934589508953,0.012055453475239423,0.008930804914526006,0.49932892779445126,0.000661861529519124,0.0004903138826511625,0.49932892779445126,0.000661861529519124,0.0004903138826511625,0.49932892779445126,0.000661861529519124,0.0004903138826511625,0.49932892779445126,0.000661861529519124,0.0004903138826511625
C,6,-2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.996679855921233,0.0,0.0,0.08551557309709766,0.008514026675907678,0.006307279227262058,3.9111642828241355,0.008514026675907671,0.006307279227262053,3.9111642828241355,0.008514026675907671,0.006307279227262053,0.9786211067257257,0.0021285066689769178,0.0015768198068155132,0.005240304129464286,0.00041721532098550247,0.0003090774350982156,14.818856439871846,0.05843557975216882,0.043289683287793625,0.5006290282014892,0.0010897954145161672,0.0008073317410895319,0.5006290282014892,0.0010897954145161672,0.0008073317410895319,0.5006290282014892,0.0010897954145161672,0.0008073317410895319,0.5006290282014892,0.0010897954145161672,0.0008073317410895319
C,6,-2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.994102801322579,4.796711693331816e-16,3.553453750400821e-16,0.0764385483527564,0.0067485689685929775,0.00499940985501011,3.9176642529698222,0.006748568968593055,0.0049994098550101675,3.9176642529698222,0.006748568968593055,0.0049994098550101675,0.980890362911811,0.0016871422421482634,0.0012498524637525417,0.004660470145089286,0.0004300395959702042,0.00031857779095739925,14.80897039110575,0.03454057743689809,0.025588017850808314,0.5014610243801373,0.0008638168279799099,0.0006399244614413007,0.5014610243801373,0.0008638168279799099,0.0006399244614413007,0.5014610243801373,0.0008638168279799099,0.0006399244614413007,0.5014610243801373,0.0008638168279799099,0.0006399244614413007
C,6,-2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.9907962143176587,4.796711693331816e-16,3.553453750400821e-16,0.0802644610549214,0.004201738723073958,0.003112691605890659,3.9105317532627377,0.004201738723074025,0.003112691605890709,3.9105317532627377,0.004201738723074025,0.003112691605890709,0.9799338847362697,0.0010504346807685063,0.0007781729014726773,0.004952566964285714,0.00040321497034639595,0.0002987058302017572,14.812807227130076,0.02937917112907099,0.02176439454916455,0.5005480644176304,0.0005378225565534565,0.0003984245255539969,0.5005480644176304,0.0005378225565534565,0.0003984245255539969,0.5005480644176304,0.0005378225565534565,0.0003984245255539969,0.5005480644176304,0.0005378225565534565,0.0003984245255539969
C,6,-2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.986765139934552,4.796711693331816e-16,3.553453750400821e-16,0.0754990153220861,0.006108600262941798,0.004525314403245374,3.9112661246124665,0.006108600262941887,0.0045253144032454395,3.9112661246124665,0.006108600262941887,0.0045253144032454395,0.9811252461694785,0.0015271500657354717,0.0011313286008113599,0.004717145647321429,0.00040134082363304195,0.0002973174428870417,14.804180877141002,0.06365216903478724,0.04715418670925011,0.5006420639503958,0.0007819008336565716,0.0005792402436154238,0.5006420639503958,0.0007819008336565716,0.0005792402436154238,0.5006420639503958,0.0007819008336565716,0.0005792402436154238,0.5006420639503958,0.0007819008336565716,0.0005792402436154238
C,6,-2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.982015709386645,9.593423386663633e-16,7.106907500801642e-16,0.07459959845292248,0.002576611663509097,0.0019087806323133825,3.9074161109337235,0.0025766116635091065,0.0019087806323133895,3.9074161109337235,0.0025766116635091065,0.0019087806323133895,0.9813501003867694,0.0006441529158772766,0.00047719515807834737,0.004813058035714286,0.00026820436557882196,0.00019868857452175618,14.784515027263684,0.03415195428759763,0.02530012179291223,0.5001492621995166,0.0003298062929291798,0.00024432392093612436,0.5001492621995166,0.0003298062929291798,0.00024432392093612436,0.5001492621995166,0.0003298062929291798,0.00024432392093612436,0.5001492621995166,0.0003298062929291798,0.00024432392093612436
C,6,-2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.976555119443372,0.0,0.0,0.06829542822376337,0.00432619308885449,0.0032048886902914945,3.9082596912196084,0.004326193088854378,0.003204888690291411,3.9082596912196084,0.004326193088854378,0.003204888690291411,0.9829261429440591,0.0010815482722135944,0.0008012221725728528,0.004329136439732143,0.00037888879974587745,0.0002806847508290964,14.810068233180814,0.038049979740293616,0.028187819459481626,0.5002572404761099,0.0005537527153733561,0.0004102257523572975,0.5002572404761099,0.0005537527153733561,0.0004102257523572975,0.5002572404761099,0.0005537527153733561,0.0004102257523572975,0.5002572404761099,0.0005537527153733561,0.0004102257523572975
C,6,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.970391608345835,0.0,0.0,0.06610852011689426,0.004433048263943045,0.0032840481117751767,3.90428308822894,0.004433048263943092,0.003284048111775212,3.90428308822894,0.004433048263943092,0.003284048111775212,0.9834728699707763,0.001108262065985773,0.000821012027943803,0.004233224051339286,0.0004070463375262042,0.0003015441467287185,14.789948517278132,0.04357997187765165,0.03228449496480735,0.49974823529330437,0.0005674301777846937,0.0004203581583072107,0.49974823529330437,0.0005674301777846937,0.0004203581583072107,0.49974823529330437,0.0005674301777846937,0.0004203581583072107,0.49974823529330437,0.0005674301777846937,0.0004203581583072107
C,6,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,7,4.0,0.0,0.0,0.11375477151821636,0.004302918465112316,0.0031876466077329843,3.8862452284817834,0.004302918465112392,0.0031876466077330416,3.8862452284817834,0.004302918465112392,0.0031876466077330416,0.9715613071204459,0.001075729616278098,0.0007969116519332604,0.007332938058035714,0.00018201229200219817,0.00013483659285451233,14.660384128882416,0.029780936698847457,0.022062026648398025,0.4974393892456683,0.0005507735635343946,0.0004080187657898354,0.4974393892456683,0.0005507735635343946,0.0004080187657898354,0.4974393892456683,0.0005507735635343946,0.0004080187657898354,0.4974393892456683,0.0005507735635343946,0.0004080187657898354
C,6,0.0,0.12,True,q3_evidence,PCS raw,pcs_raw,1,C,7,3.996679855921233,0.0,0.0,0.0936897376526631,0.0041427271000055175,0.0030689751837422734,3.90299011826857,0.004142727100005522,0.003068975183742277,3.90299011826857,0.004142727100005522,0.003068975183742277,0.9765775655868343,0.0010356817750013804,0.0007672437959355692,0.005658830915178571,0.00028890178636200675,0.00021402143841013085,14.657289405738194,0.03377836906587104,0.025023365987662534,0.499582735138377,0.0005302690688007087,0.00039282882351901287,0.499582735138377,0.0005302690688007087,0.00039282882351901287,0.499582735138377,0.0005302690688007087,0.00039282882351901287,0.499582735138377,0.0005302690688007087,0.00039282882351901287
