seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps,gn_style_gsnr_db,gsnr_error_db
1,C,C,10,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.843465681498389,0.9608664203745972,0.01031494140625,14.248956199889435,0.4099696726931615,11.418339484760143,2.830616715129292
2,C,C,10,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.8768762262265732,0.9692190565566433,0.00823974609375,14.450032433507667,0.4135334641308345,11.418339484760143,3.0316929487475246
3,C,C,10,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.8504160806566508,0.9626040201641627,0.0091552734375,14.357272895808727,0.4107110486033761,11.418339484760143,2.938933411048584
1,C,C,10,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.8186221542687706,0.9546555385671927,0.0115966796875,13.989836510450413,0.40731969645533556,13.067744723635021,0.9220917868153915
2,C,C,10,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.8078579466553792,0.9519644866638448,0.01214599609375,13.987755026502452,0.40617151430990717,13.067744723635021,0.9200103028674302
3,C,C,10,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.8151338270589674,0.9537834567647419,0.010986328125,13.999390708941075,0.4069476082196232,13.067744723635021,0.9316459853060532
1,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.6379887321881803,0.9094971830470451,0.02197265625,12.910240433087829,0.38805213143340594,14.013527152228907,-1.103286719141078
2,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.6691966944770718,0.9172991736192679,0.0203857421875,12.94792303360926,0.391380980744221,14.013527152228907,-1.065604118619646
3,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.5980114359449824,0.8995028589862456,0.0238037109375,12.793312169443887,0.38378788650079815,14.013527152228907,-1.22021498278502
1,C,C,10,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.191953834318494,0.7979884585796235,0.04827880859375,10.897642391356438,0.3404750756606394,13.422989806378745,-2.5253474150223063
2,C,C,10,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.2046213078609593,0.8011553269652398,0.04742431640625,10.720605632164519,0.34182627283850237,13.422989806378745,-2.7023841742142256
3,C,C,10,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.2099056449820003,0.8024764112455001,0.04754638671875,10.842619826511513,0.3423899354647467,13.422989806378745,-2.580369979867232
1,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.782005714216873,0.9455014285542183,0.01385498046875,13.5719765453282,0.4034139428497998,9.679056987415835,3.8929195579123643
2,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.749875895165631,0.9374689737914077,0.016845703125,13.46637344260818,0.3999867621510006,9.679056987415835,3.787316455192345
3,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.76976098362814,0.942440245907035,0.01483154296875,13.58743327133989,0.40210783825366825,9.679056987415835,3.9083762839240546
1,S,S,12,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.6633830173788575,0.9158457543447144,0.02197265625,12.916512359136153,0.3907608551870782,11.522256126684809,1.394256232451344
2,S,S,12,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.67712769331395,0.9192819233284875,0.01995849609375,12.991895792672302,0.39222695395348806,11.522256126684809,1.4696396659874935
3,S,S,12,0.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.6815810395726594,0.9203952598931648,0.02008056640625,12.999233656298593,0.39270197755441705,11.522256126684809,1.4769775296137837
1,S,S,12,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.423973365688976,0.855993341422244,0.03521728515625,11.62603426354111,0.3652238256734908,13.04038524138333,-1.4143509778422203
2,S,S,12,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.4375112407301924,0.8593778101825481,0.03533935546875,11.877562499798522,0.36666786567788723,13.04038524138333,-1.162822741584808
3,S,S,12,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.4053847844501064,0.8513461961125266,0.03668212890625,11.705388275362331,0.363241043674678,13.04038524138333,-1.3349969660209986
1,S,S,12,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,2.8910870570399574,0.7227717642599893,0.07220458984375,9.520870370719228,0.3083826194175955,13.628089510061152,-4.1072191393419235
2,S,S,12,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,2.9468648652746996,0.7367162163186749,0.0701904296875,9.709932703988699,0.31433225229596795,13.628089510061152,-3.918156806072453
3,S,S,12,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,2.8269193903171104,0.7067298475792776,0.07525634765625,9.258366655577394,0.30153806830049185,13.628089510061152,-4.369722854483758
